45321;periodicidade;ano;mes;justica;seq_orgao;tribunal;dsc_tribunal;uf;uf_sede;idporte;porte;acap;acr;acs;aqv;as;asen;ca;cc;ccb;cd;ce;ced;cee;cer;cg;cge;cpc;cpp;crag;crd;del;dimp;dlp;dmt;dob;dpa;dpb;dpl;drs;dvd;ftt;ga;gaed;gaer;gc;gcd;gcgraf;gci;gcm;gconst;gcv;gee;glb;gml;gmv;gpp;grcm;gref;grl;grmv;grtf;grtm;grv;gtf;gtm;gv;gve;km;ltf;ltm;magp;mcont;mtotal;nt;pas;pcap;pcs;pqv;qei;qi;qpv;qvm;qvs;serv;tfaux;tfauxa;tfauxc;tfauxe;tfauxjl;tfauxsp;tfauxt;tfauxv;tpefet;tpi;tpsv;upload;valt;vd;vgef;tmr;qve;qip;cre;gre;cra;gra;uvs;uvm;prqv;pras;prcap;cpt;cpt.ftt;ced.ftt;qi.ftt;lt.ftt
TRE-SP_SP_Mensal_7_2022;Mensal;2022;7;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;2436;590;590;0;0;1536;284419,4;435;0;1722;0;1725;;;0;0;0;20;0;0;0;0;0;0;0;64033,45;0;3597,75;0;0;0;0;0;0;0;229416,23;0;0;0;0;;0;;;48,11040087;81,21930233;;88811,8;34924,3;0;0;0;1846;430;;0;170946;0;0;0;;0;0;604025;0;0;0;;0;0;;;;;;;;;;0;0;0;0;1742;0;;;;;;;;;;;1725;;;;
TRE-SP_SP_Mensal_8_2022;Mensal;2022;8;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;2554;820;820;0;0;696;284023,7;467;0;9492;0;12970;;;0;0;0;15;0;0;0;0;0;0;0;62146,96;0;2936,25;0;0;0;0;0;0;0;233104,74;0;0;0;0;;0;;;46,48415493;81,25655814;;85809,75;34940,32;0;0;0;1846;430;;0;170946;0;0;0;;0;0;799428;0;0;0;;0;0;;;;;;;;;;0;0;0;0;9507;0;;;;;;;;;;;12970;;;;
TRE-SP_SP_Mensal_9_2022;Mensal;2022;9;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;3363;1122;1122;0;0;2712;320462,2;882;0;12459;0;4773;;;0;0;0;25;0;0;0;0;0;0;0;75496,1;0;5157;0;0;0;0;0;0;0;264379,48;0;0;0;0;;0;;;48,48294691;81,22804651;;89499,52;34928,06;0;0;0;1846;430;;0;170946;0;0;0;;0;0;3469726;0;0;0;;0;0;;;;;;;;;;0;0;0;0;12484;0;;;;;;;;;;;4773;;;;
TRE-SP_SP_Mensal_10_2022;Mensal;2022;10;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;4154;371;371;0;0;2644;397390,3;1073;0;10439;0;1635;;;0;0;0;25;0;0;0;0;0;0;0;95260,85;10452;5953,5;0;0;0;0;0;0;0;325545,28;0;0;0;176300;;0;;;45,82618093;72,3321165;;84595,13;37251,04;0;0;0;1846;515;;0;170946;0;0;0;;0;0;1900043;0;0;0;;0;0;;;;;;;;;;0;0;0;0;10464;0;;;;;;;;;;;1635;;;;
TRE-SP_SP_Mensal_11_2022;Mensal;2022;11;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;3715;0;0;0;0;4332;382010,3;741;0;12000;0;2322;;;0;0;0;30;0;0;0;0;0;0;0;86402,71;0;7242,75;0;0;0;0;0;0;0;314088,19;0;0;0;0;;0;;;45,21947454;81,06860194;;83475,15;41750,33;0;0;0;1846;515;;0;170946;0;0;0;;0;0;583957;0;0;0;;0;0;;;;;;;;;;0;0;0;0;12030;0;;;;;;;;;;;2322;;;;
TRE-SP_SP_Mensal_12_2022;Mensal;2022;12;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;1630;0;0;0;0;0;209977,2;609;0;10239;0;115;;;0;0;0;25;0;0;0;0;0;0;0;45320,33;0;5001,75;0;0;0;0;0;0;0;176069,2;0;0;0;0;;0;;;32,33976165;81,23654369;;59699,2;41836,82;0;0;0;1846;515;;0;170946;0;0;0;;0;0;338666;0;0;0;;0;0;;;;;;;;;;0;0;0;0;10264;0;;;;;;;;;;;115;;;;
TRE-SP_SP_Anual_0_2023;Anual;2023;0;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;25620;10261;;0;0;20484;3124781,3;4918;0;10598;0;9694;;;0;0;0;138;0;0;0;0;0;0;0;698170,99;15066;53849,1;0;0;151142,8;0;0;0;0;2659991,37;0;0;0;175947,4;;0;;;;;;791975,82;376865,04;0;0;0;0;0;;0;170946;0;0;0;;0;0;5250910;0;0;0;;0;0;;;;;;;;;;0;0;0;0;10736;0;;;;;;;;;;;9694;;;;
TRE-SP_SP_Mensal_1_2023;Mensal;2023;1;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;1.981;0;557;0;0;0;264.338,90;623;0;876;0;380;;;0;0;0;15;0;0;0;0;0;0;0;60.316,11;0;4.110,75;0;0;37853,2;0;0;0;0;222.183,13;0;0;0;175.947,40;;0;;;40,82391658;81,26545631;;75.360,95;41.851,71;0;0;0;1.846;515;;0;170946;0;0;0;;0;0;573.377;0;0;0;;0;0;;;;;;;;;;0;0;0;0;891;0;;;;;;;;;;;380;;;;
TRE-SP_SP_Mensal_2_2023;Mensal;2023;2;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;2.368;0;949;0;0;48;373.143,30;660;0;1.134;0;445;;;0;0;0;20;0;0;0;0;0;0;0;65.170,92;13.764,00;4.205,25;0;0;37853,2;0;0;0;0;301.449,99;0;0;0;0;;0;;;42,80375406;81,21994175;;79.015,73;41.828,27;0;0;0;1.846;515;;0;170946;0;0;0;;0;0;479.813;0;0;0;;0;0;;;;;;;;;;0;0;0;0;1154;0;;;;;;;;;;;445;;;;
TRE-SP_SP_Mensal_3_2023;Mensal;2023;3;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;2.369;0;631;0;0;876;371.503,40;891;0;1.530;0;558;;;0;0;0;15;0;0;0;0;0;0;0;60.933,03;0;4.455,00;0;0;37853,2;0;0;0;0;316.514,55;0;0;0;0;;0;;;44,05020043;81,23421359;;81.316,67;41.835,62;0;0;0;1.846;515;;0;170946;0;0;0;;0;0;369.095;0;0;0;;0;0;;;;;;;;;;0;0;0;0;1545;0;;;;;;;;;;;558;;;;
TRE-SP_SP_Mensal_4_2023;Mensal;2023;4;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;2.467;0;673;0;0;264;336.406,80;625;0;864;0;960;;;0;0;0;10;0;0;0;0;0;0;0;65.260,26;0;6.014,25;0;0;37583,2;0;0;0;0;288.848,02;0;0;0;0;;0;;;41,98327194;81,21998058;;77.501,12;41.828,29;0;0;0;1.846;515;;0;170946;0;0;0;;0;0;756.895;0;0;0;;0;0;;;;;;;;;;0;0;0;0;874;0;;;;;;;;;;;960;;;;
TRE-SP_SP_Mensal_5_2023;Mensal;2023;5;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;2.521;0;555;0;0;180;275.317,80;772;0;1.230;0;550;;;0;0;0;10;0;0;0;0;0;0;0;66.674,43;876;4.218,75;0;0;0;0;0;0;0;238.656,74;0;0;0;0;;0;;;43,06621343;81,22093204;;79.500,23;41.828,78;0;0;0;1.846;515;;0;170946;0;0;0;;0;0;538.000;0;0;0;;0;0;;;;;;;;;;0;0;0;0;1290;0;;;;;;;;;;;550;;;;
TRE-SP_SP_Mensal_6_2023;Mensal;2023;6;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;2.607;0;309;0;0;7.100;262.092,70;624;0;1.014;0;1.046;;;0;0;0;6;0;0;0;0;0;0;0;73.597,90;0;5.232,30;0;0;0;0;0;0;0;225.696,01;0;0;0;0;;0;;;43,09809859;81,23182524;;79.559,09;41.834,39;0;0;0;1.846;515;;0;170946;0;0;0;;0;0;449.666;0;0;0;;0;0;;;;;;;;;;0;0;0;0;1020;0;;;;;;;;;;;1046;;;;
TRE-SP_SP_Mensal_7_2023;Mensal;2023;7;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;2.526;0;2.221;0;0;492;259.432,20;833;0;912;0;548;;;0;0;0;10;0;0;0;0;0;0;0;69.918,85;0;4.305,60;0;0;0;0;0;0;0;223.475,50;0;0;0;0;;0;;;43,35248104;81,22;;80.028,68;41.828,30;0;0;0;1.846;515;;0;170946;0;0;0;;0;0;316.869;0;0;0;;0;0;;;;;;;;;;0;0;0;0;922;0;;;;;;;;;;;548;;;;
TRE-SP_SP_Mensal_8_2023;Mensal;2023;8;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;2.746;0;401;0;0;96;276.693,20;723;0;1.026;0;908;;;0;0;0;12;0;0;0;0;0;0;0;74.896,41;0;5.747,70;0;0;0;0;0;0;0;238.198,24;0;0;0;0;;0;;;43,46590466;80,83359768;;80.238,06;41.790,97;0;0;0;1.846;517;;0;170946;0;0;0;;0;0;518.133;0;0;0;;0;0;;;;;;;;;;0;0;0;0;1038;0;;;;;;;;;;;908;;;;
TRE-SP_SP_Mensal_9_2023;Mensal;2023;9;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;2.903;0;483;0;0;564;319.743,10;802;0;912;0;1.155;;;0;0;0;20;0;0;0;0;0;0;0;80.813,34;426;4.988,70;0;0;0;0;0;0;0;274.052,72;0;0;0;0;;0;;;44,79628927;81,18388781;;82.693,95;41.972,07;0;0;0;1.846;517;;0;170946;0;0;0;;0;0;490.264;0;0;0;;0;0;;;;;;;;;;0;0;0;0;932;0;;;;;;;;;;;1155;;;;
TRE-SP_SP_Mensal_10_2023;Mensal;2023;10;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;2.866;0;932;0;0;10.864;294.941,00;730;0;1.050;0;2.956;;;0;0;0;20;0;0;0;0;0;0;0;73.608,49;0;5.533,80;0;0;0;0;0;0;0;345.156,03;0;0;0;0;;0;;;44,57306067;81,42152805;;82.281,87;42.094,93;0;0;0;1.846;517;;0;170946;0;0;0;;0;0;415.491;0;0;0;;0;0;;;;;;;;;;0;0;0;0;1070;0;;;;;;;;;;;2956;;;;
TRE-SP_SP_Mensal_11_2023;Mensal;2023;11;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;2.358;0;2.550;0;0;0;342.926,10;702;0;900;0;188;;;0;0;0;15;0;0;0;0;0;0;0;64.604,26;0;5.037,00;0;0;0;0;0;0;0;240.853,48;0;0;0;0;;0;;;44,86091549;81,28845261;;82.813,25;42.026,13;0;0;0;1.846;517;;0;170946;0;0;0;;0;0;343.307;0;0;0;;0;0;;;;;;;;;;0;0;0;0;0;0;;;;;;;;;;;188;;;;
TRE-SP_SP_Mensal_11_2023;Mensal;2023;12;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;;;0;0;0;0;0;0;2.403;0;2.375;0;0;262;318.026,40;645;0;894;0;31;;;0;0;0;15;0;0;0;0;0;0;0;68.952,18;568;4.843,80;0;0;0;0;0;0;0;365.417,58;0;0;0;0;0;0;0;0;41,73348321;86,80692456;0;77.040,01;44.879,18;0;0;0;1.846;517;0;0;170946;0;0;0;0;0;0;231.803;0;0;0;0;0;0;;;;;;;;;;0;0;0;0;0;0;;;;;;;;;;;0;;;;
