chave;periodicidade;ano;mes;justica;seq_orgao;tribunal;dsc_tribunal;uf;uf_sede;idporte;porte;acap;acr;acs;aqv;as;asen;ca;cc;cd;ce;ced;cee;cer;cg;cge;cpc;cpp;crag;crd;del;dimp;dlp;dmt;dob;dpa;dpb;dpl;drs;dvd;ftt;ga;gaed;gaer;gc;gcd;gcgraf;gci;gcm;gconst;gcv;gee;glb;gml;gmv;gpp;grcm;gref;grl;grmv;grtf;grtm;grv;gtf;gtm;gv;gve;km;ltf;ltm;magp;mcont;mtotal;nt;pas;pcap;pcs;pqv;qei;qi;qpv;qvm;qvs;serv;tfaux;tfauxa;tfauxc;tfauxe;tfauxjl;tfauxsp;tfauxt;tfauxv;tpefet;tpi;tpsv;upload;valt;vd;vgef;tmr;qve;qip;cre;gre;cra;gra;uvs;uvm;prqv;pras;prcap;cpt;cpt.ftt;ced.ftt;qi.ftt;lt.ftt
TRE-RS_RS_Anual_0_2021;Anual;2021;0;Eleitoral;13265;TRE-RS;TRE - Rio Grae do Sul;RS;RS;1;Grae;11;189;95;25;5;3;4717;755;1014,99;0;684;1313083;500;4234;6000;0;484;282,2666667;202,998;0;0;0;0;0;0;1;0;270;0;1588;120743,46;472;4345;30622,92;0;76609,44;76609,44;343456,58;0;47071,99;1336005,11;5425412,52;3521,5;32311,64;0;17172,829;7084484,25;98,32210046;1615,582;530,6593921;348,0213643;55586,78452;427711,47;232130,25;1723190,32;346569,94;54483;806;667;172;55179,99;59223;1;767;2240;0,502645503;3841;387;928896;31;2;18;1120;296;0;;72;;;224;;793;326;1;1;0;5;15;6000;20;584,9471033;22,17184202;22,55888945;0,07964811;2,038793374;78,66666667;86;0,09675063;0,096599496;0,128234486;484;0,304785894;0,430730479;584,9471033;0,927581864
TRE-RR_RR_Anual_0_2021;Anual;2021;0;Eleitoral;13266;TRE-RR;TRE - Roraima;RR;RR;3;Pequeno;2;98;13;5;1;4;732;205;8637;0;31;543440;60;960;0;0;86;68,57142857;359,875;0;0;0;0;0;0;2320;0;0;0;225;10032,88;247,82;420;41085,26;599,5;9892;0;266628,25;0;0;352087,66;609826,68;48206,7;149570,36;1235,4;7016,532895;0;25,15060337;3936,062105;130,5889706;;111683,58;17760,1;0;1116835,8;0;80125;136;0;13;24247;23192;1;54;36;0,132653061;496;93;0;10;0;38;153;59;0;;8;;;51;;115;37;1;0;0;24;14;0;38;0;23,43221801;15,18142722;0,031562608;0,432600897;5,578947368;;0,440888889;0,24;0,08;86;0,382222222;0,137777778;0;0,604444444
TRE-SC_SC_Anual_0_2021;Anual;2021;0;Eleitoral;13267;TRE-SC;TRE - Santa Catarina;SC;SC;2;Médio;3;93;69;24;0;0;3507;0;4762,57;11799,2;0;877987;0;0;0;0;698;621,0105263;1587,523333;0;0;0;0;0;5422,46;0;173,21;72,64;0;1037;71244,14;0;0;93237,6;0;0;30033,28;715563,4;0;1200,86;817743,29;4142237,26;0;20072,92;8924,85;32525,60909;576728,78;139,5771701;912,4054545;1391,467817;1458,869655;80978,11091;274119,16;253843,32;890759,22;285835,29;118043;197;174;106;29677,04;33889;1;0;3;0,741935484;296;272;0;11;2;20;629;302;0;;60;;;242;;487;142;0;1;0;3;19;5595,67;22;0;25,90772817;24,13005075;0,103484907;2,102279206;46,55;53;0,011893282;;0,00096432;698;0,673095468;0;0;0,357762777
TRE-SP_SP_Anual_0_2021;Anual;2021;0;Eleitoral;13268;TRE-SP;TRE - São Paulo;SP;SP;1;Grae;12;108;44;3;1;10;14440;5693;1532,54;4334,55;10610;2678553;2060;6616,58;5152;0;6229;163,4497015;153,254;0;160;0;84;0;0;97,3;0;45;0;4646;418408,79;8222,99;9737,77;63766,64;11075,35;0;226206,84;1542197,76;0;6349,75;2225153,88;4008531,13;266249,89;246410,07;80851,1;20028,54234;637072;;3200,130779;487,3547779;316,1933488;66554,85517;899656,92;135963,14;1930090,8;395165,14;79450;1846;430;400;0;153859;0;91;1732;0,407407407;1047;1970;2018156;29;14;63;3605;641;0;;307;;;334;;1887;1718;0;1;0;10;67;5236;77;434,3857081;17,40914084;14,46229262;0,093852163;2,719430063;67,3968254;28,57142857;0,075118381;0,019586741;0,03106615;6229;1,340723203;2,28368489;434,3857081;0,489883771
TRE-SE_SE_Anual_0_2021;Anual;2021;0;Eleitoral;13269;TRE-SE;TRE - Sergipe;SE;SE;3;Pequeno;4;80;32;9;3;6;3401;219;9959;0;0;634247;0;4446,8;1278,8;0;728;635,2571429;1659,833333;0;165;640;161,1;0;1706,7;5,2;204,4;9,15;0;523;104214,59;0;0;74704,1;596,1;7145;0;395624;29561,27;0;590697,64;1548985,21;30427,9;51997,21;10898,16;30432,61538;473673,18;45,573173;3999,785385;246,8502439;564;55320,76;80966,88;10716;1493660,52;93904;116652;328;19;36;33988,97;48075;1;156;155;0,4;887;109;447051;27;2;12;350;137;0;;0;;;137;;222;121;7;1;0;6;7;3351;13;854,7820268;13,19286531;12,28700239;0,07074363;2,167750182;40,58333333;18;0,188442745;0,099426386;0,074091778;728;1,391969407;0;854,7820268;0,663479924
TRE-TO_TO_Anual_0_2021;Anual;2021;0;Eleitoral;13270;TRE-TO;TRE - Tocantins;TO;TO;3;Pequeno;4;121;30;7;3;4;6165;322;27451,83;5159,29;0;1402652;1433;24044,87;0;0;141;621,3651064;1098,0732;40,9;74;0;8,5;60000;3874,05;0;99,5;131;0;539;133957,14;0;7143,88;221651,88;759,49;20028;91979,45;608473,53;0;0;1542380,15;2309414,99;35565,5;147981,51;2364,62;8451,02125;199360,31;51,87598252;2055,29875;89,87137476;978,7177;126039,792;47721,7;97871,77;1890596,88;0;370059;531;100;40;44518;46932;1;118;558;0,247933884;3120;60;220439;15;4;68;282;217;0;;38;;;179;;179;100;3;1;0;25;47;3982,05;72;408,9777365;29,8869002;32,86414706;0,131360266;2,854281514;7,338235294;10;0,826928174;0,072974644;0,258812616;141;0,261595547;0;408,9777365;1,170686456
TRE-RO_RO_Anual_0_2021;Anual;2021;0;Eleitoral;13271;TRE-RO;TRE - Roônia;RO;RO;3;Pequeno;1;102;59;4;0;1;2063;310;8507;0;0;818868;1079;1625;0;0;204;180,5555556;293,3448276;220;1120;52;0;15;2077,05;7340;0;30;0;347;34913,16;0;7365,89;62634,26;0;0;0;279459,88;0;0;575207,76;1622473,01;82887,29;92475,82;0;7354,207368;2024112,73;87,75351642;2433,574211;792,2649315;1285,329483;20741,52667;115670,68;149098,22;746694,96;0;61520;146;116;36;18488,98;31559;0;0;25;0,578431373;130;85;106323;36;0;38;198;113;0;;7;;;106;;186;12;0;1;0;29;9;2077,05;38;306,4063401;25,94720999;18,22642543;0,065369625;1,106282202;8,184210526;;0,093659942;;0,07204611;204;0,587896254;0;306,4063401;0,755043228
TRE-AC_AC_Anual_0_2021;Anual;2021;0;Eleitoral;78480;TRE-AC;TRE - Acre;AC;AC;;;0;91;42;2;0;3;3750;0;17353,34;0;0;668395;978;537,48;0;0;108;;1446,111667;0;70;0;3;0;250;0;54;0;8;0;34890,81;0;6640,62;54991,97;0;0;0;187448,61;7723818,44;0;473104,36;716276,95;7521,39;26764,08;1819,49;14419,12385;608760,37;20,02568643;2058,775385;656,0007273;;66800,403;36080,04;0;668004,03;88532,97;68088;55;0;;35767,91;;1;0;0;0,461538462;102;95;52380;10;1;12;;0;0;;;;;;;;;;0;1;12;0;315;13;;;;;;;;;;;108;;;;
TRE_BR_Anual_0_2021;Anual;2021;0;Eleitoral;999991;TRE;Justiça Eleitoral;BR;BR;;;89;3431;1529;544;123;164;332140,25;26356;588809,57;52423,59;113725;62325807,14;37608;317701,01;146696,117;3560,74;31540;466,650404;1483,147531;55775,28;7818,32;16350;5673,11;512328,7;87060,59;57869,099;10016,017;3988,368;952,51;31225;4680018,56;76572,53;201149,53;3907153,13;62721,71;844769,19;3181265,81;21200852,39;26917473,11;461926,65;35893280,6;71614901,85;2862280,76;4074315,11;374653,83;17815,84234;37132260,98;56,62586991;3423,79421;496,6114758;643,7323491;58527,8193;5488550,03;1888066,98;35877553,23;6190557,91;5789960,01;11052;2933;2820;1193913,15;1625499;18;9835;13803;0,532011134;71904;10833;11073475;613;90;1101;20758;7647;39;0;2109;0;0;5499;0;14356;6278;124;25;1;397;792;250398,344;1190;496,2892331;40,06204624;23,01434149;0,213372325;3,018182506;26,0835629;28,05617978;0,096813339;0,070182324;0,084446253;35100,74;1,16634691;7,518014147;496,2892331;0,46430238
TJAC_AC_Anual_0_2021;Anual;2021;0;Estadual;8;TJAC;TJ - Acre;AC;AC;3;Pequeno;3;55;13;48;4;3;18988;20;49386;0;0;2774411;6542;17298;778;0;1255;314,5090909;1148,511628;0;141;307;0;0;478;70;69;49;0;1824;190997,76;0;30597,07;408476,29;44,6;0;0;10966;0;0;1749504,79;2750880,12;0;165578;23288,58;111,8979592;98376,06;29,6832571;1689,571429;183,5315913;1286,355082;;101492,97;156935,32;0;0;497268;553;122;65;92674,47;188500;1;183;265;0,236363636;3978;481;627500;0;14;84;1590;169;0;;34;;;135;;1216;113;261;1;0;43;55;1325;98;344,0241228;14,71836074;9,28119252;0,100732095;1,013250716;20,94047619;4,642857143;0,045435855;0,025082237;0,048428363;1255;0,688048246;0;344,0241228;0,370065789
